NUMERO_BOLETIM;DATAHORA_BOLETIM;DATA_INCLUSAO;TIPO_ACIDENTE;DESC_TIPO_ACIDENTE;COD_TEMPO;DESC_TEMPO;COD_PAVIMENTO;PAVIMENTO;COD_REGIONAL;DESC_REGIONAL;ORIGEM_BOLETIM;LOCAL_SINALIZADO;VELOCIDADE_PERMITIDA;COORDENADA_X;COORDENADA_Y;HORA_INFORMADA;INDICADOR_FATALIDADE;VALOR_UPS;DESCRIÇÃO_UPS;DATA_ALTERACAO_SMSA;VALOR_UPS_ANTIGA;DESCRIÇÃO_UPS_ANTIGA
2021-008886628-002;20/02/202110:01;20/02/202111:10;H01002;ABALROAMENTOCOMVITIMA;1;BOM;1;ASFALTO;21;NORDESTE;POLICIAMILITAR;NÃO;60;0000605027.20;0007797323.03;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-008888878-001;20/02/202110:25;20/02/202111:30;H09002;COLISAODEVEICULOSCOMVITIMA;1;BOM;1;ASFALTO;24;OESTE;POLICIAMILITAR;NÃO;0;0000605929.12;0007790628.88;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-008891464-001;20/02/202111:22;20/02/202111:55;H04000;QUEDADEPESSOADEVEICULO;1;BOM;1;ASFALTO;21;NORDESTE;POLICIAMILITAR;NÃO;0;0000611725.63;0007798841.07;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-008891884-001;19/02/202123:00;20/02/202111:59;H08002;CHOQUEMECANICOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;24;OESTE;POLICIAMILITAR;NÃO;0;0000608151.70;0007793146.59;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-008892064-001;20/02/202111:22;20/02/202112:02;H01002;ABALROAMENTOCOMVITIMA;1;BOM;1;ASFALTO;25;PAMPULHA;POLICIAMILITAR;NÃO;0;0000608474.90;0007807131.57;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-008893316-001;20/02/202111:50;20/02/202112:20;H06001;ATROPELAMENTODEPESSOACOMVITIMAFATAL;1;BOM;1;ASFALTO;22;NOROESTE;POLICIAMILITAR;NÃO;40;0000605859.45;0007798641.15;SIM;SIM;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-008894925-001;20/02/202111:52;20/02/202112:40;H09002;COLISAODEVEICULOSCOMVITIMA;1;BOM;1;ASFALTO;23;NORTE;POLICIAMILITAR;NÃO;0;0000613131.36;0007805477.77;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-008896805-001;20/02/202112:31;20/02/202113:01;H08002;CHOQUEMECANICOCOMVITIMA;1;BOM;1;ASFALTO;25;PAMPULHA;POLICIAMILITAR;NÃO;0;0000607454.23;0007806645.60;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-008902087-001;20/02/202112:16;20/02/202113:52;H09002;COLISAODEVEICULOSCOMVITIMA;4;NUBLADO;1;ASFALTO;23;NORTE;POLICIAMILITAR;NÃO;0;0000610660.50;0007807364.07;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-008902152-001;20/02/202113:21;20/02/202113:52;H09002;COLISAODEVEICULOSCOMVITIMA;1;BOM;1;ASFALTO;21;NORDESTE;POLICIAMILITAR;NÃO;0;0000612212.06;0007802031.84;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
