dia;mês;concat;Comemoração;Feriado
1;1;11;AnoNovo;FERIADO
2;1;21;0;NXT_FERIADO
14;2;142;0;NXT_FERIADO
15;2;152;Carnaval;FERIADO
16;2;162;Carnaval;FERIADO
17;2;172;Carnaval;FERIADO
18;2;182;0;NXT_FERIADO
1;4;14;0;NXT_FERIADO
2;4;24;Sexta-FeiraSanta;FERIADO
3;4;34;0;NXT_FERIADO
20;4;204;0;NXT_FERIADO
21;4;214;Tiradentes;FERIADO
22;4;224;0;NXT_FERIADO
30;4;304;0;NXT_FERIADO
1;5;15;DiadoTrabalho;FERIADO
2;5;25;0;NXT_FERIADO
2;6;26;0;NXT_FERIADO
3;6;36;CorpusChristi;FERIADO
4;6;46;0;NXT_FERIADO
14;8;148;0;NXT_FERIADO
15;8;158;AssunçãodeNossaSenhora;FERIADO
16;8;168;0;NXT_FERIADO
6;9;69;0;NXT_FERIADO
7;9;79;IndependênciadoBrasil;FERIADO
8;9;89;0;NXT_FERIADO
11;10;1110;0;NXT_FERIADO
12;10;1210;NossaSenhoraAparecida;FERIADO
13;10;1310;0;NXT_FERIADO
14;10;1410;0;NXT_FERIADO
15;10;1510;DiadoProfessor;FERIADO
16;10;1610;0;NXT_FERIADO
27;10;2710;0;NXT_FERIADO
28;10;2810;DiadoServidorPúblico;FERIADO
29;10;2910;0;NXT_FERIADO
1;11;111;0;NXT_FERIADO
2;11;211;DiadeFinados;FERIADO
3;11;311;0;NXT_FERIADO
14;11;1411;0;NXT_FERIADO
15;11;1511;ProclamaçãodaRepública;FERIADO
16;11;1611;0;NXT_FERIADO
7;12;712;0;NXT_FERIADO
8;12;812;ImaculadaConceição;FERIADO
9;12;912;0;NXT_FERIADO
24;12;2412;0;NXT_FERIADO
25;12;2512;Natal;FERIADO
26;12;2612;0;NXT_FERIADO
31;12;3112;0;NXT_FERIADO
